movie_id,gender_man
213746,10
171539,34
174830,33
186114,20
144906,32
151196,29
169240,37
196843,68
157243,23
181710,67
179518,40
17421,53
10200,79
154667,36
187320,44
35939,50
156464,43
10002,45
10102,20
17159,46
106360,41
18847,39
22126,46
197647,33
35901,65
24452,55
32686,32
34324,43
147092,31
31796,55
92125,83
181700,50
10048,32
14450,41
136900,62
17170,36
163788,36
161850,37
134899,36
142632,26
30688,31
19079,42
130850,36
154573,28
19099,58
31795,57
39636,57
62586,70
182348,42
10114,26
189075,51
31013,32
144318,28
35187,43
25915,60
189111,41
152655,41
10001,34
151728,30
10249,22
14448,25
10244,42
184517,30
178434,24
31794,56
18817,50
183132,29
89752,23
167787,21
150376,42
182525,25
10670,47
76309,38
10021,80
16531,29
183136,23
146534,50
146504,26
29571,30
15899,36
192066,34
144100,57
125724,28
196051,55
68555,40
18781,26
10101,25
194334,27
109193,33
59075,58
199860,45
151752,61
100654,51
187051,6
148338,3
10936,26
29059,32
185275,42
172980,75
167107,22
10020,59
130013,40
52515,51
175727,21
205968,41
164907,24
68502,50
158191,50
134841,38
201073,38
142305,67
10314,50
136990,32
10058,49
68031,50
190395,23
195687,84
10341,42
144379,31
115298,43
10003,52
181286,82
10046,50
142304,57
172780,54
151106,51
139613,31
140711,55
154379,33
38227,48
171725,54
187322,39
154437,28
172174,36
57723,51
143469,29
63513,48
19335,17
134772,32
168050,42
152160,4
160135,36
138877,52
75378,20
10110,52
92075,47
31827,20
169349,21
130849,26
10039,89
34093,67
17942,60
158578,8
145736,12
173692,39
85825,16
17796,36
169348,12
135843,33
181717,16
180372,20
194463,33
143495,53
187308,57
161242,58
167699,40
137358,30
146489,25
31422,50
19031,47
100931,37
93005,57
154222,51
120788,25
17327,81
31801,38
113132,32
123688,25
180379,23
189000,50
38444,36
109905,58
150687,59
162824,41
10037,50
164290,6
45290,59
184518,37
109911,30
10050,75
180687,85
39640,31
177374,41
24830,37
155356,36
17970,42
210807,78
125417,44
156185,26
164104,16
31475,50
165461,42
10113,50
14802,38
133402,42
129802,25
11307,43
115622,30
39809,71
117787,69
16601,32
39440,41
184403,30
180169,36
38899,44
68567,58
153621,21
185282,19
129781,6
165022,56
192623,5
173019,26
129764,56
50724,50
147001,55
31882,36
140653,26
107992,27
47321,29
96379,45
177335,17
187351,31
103331,30
16208,67
146469,46
200896,42
179694,27
154653,21
183772,23
146560,45
71760,45
72054,81
101966,40
178097,41
182699,58
29756,33
202903,48
92069,68
143357,52
102272,50
37936,25
188056,38
95767,26
102875,49
141675,30
10262,48
10970,67
88669,53
109778,53
174659,31
27219,55
115977,46
136876,48
155963,14
191920,40
130989,35
137865,15
112040,38
66158,42
120076,14
181912,32
18050,41
156912,24
101901,51
107924,40
168693,51
118917,46
191597,47
38464,38
121788,56
146512,57
65998,35
30796,45
149049,28
95260,67
144938,24
10877,67
168023,30
182387,25
164115,27
121048,46
172187,24
36590,33
209496,45
45298,48
16792,75
61848,67
115534,35
183866,48
136315,64
135806,67
10111,38
37439,67
10086,56
140731,58
90589,64
159408,78
175366,43
159516,50
129046,40
26537,54
191545,53
158180,45
117061,19
109466,36
172113,57
68498,29
189623,42
127398,62
57278,50
66091,32
18878,58
51787,21
173653,46
17255,29
11720,80
142683,25
129406,36
91031,25
178214,26
129072,46
200052,34
93236,28
140803,14
172425,45
163787,35
157178,56
36843,49
27350,45
162173,43
113170,23
96327,64
126389,48
146214,57
17059,25
76020,31
151254,67
146488,50
127858,33
177483,35
162854,29
190324,50
120125,39
183377,32
16906,33
113315,57
139523,32
187321,70
149777,49
150117,37
146944,25
143416,37
50785,50
10250,75
160491,18
99714,63
149504,55
195450,78
38546,20
103719,45
208077,63
87309,35
96054,30
88495,23
17773,38
82239,40
192147,75
194910,33
183836,29
149479,43
127321,28
61521,50
139674,16
149050,27
142691,33
98276,26
191633,28
179318,26
128212,56
165722,26
134898,61
138601,22
38662,36
179974,54
203097,34
36651,80
154449,38
147388,26
10741,25
185131,29
165025,14
39516,78
197304,11
190728,72
66440,38
130983,36
136890,24
186613,33
35626,62
10100,42
197487,67
132998,36
132991,35
115240,22
31607,31
32588,38
31940,45
114249,53
77768,57
138576,19
181381,55
130957,69
119632,53
99724,43
150198,54
193990,30
72363,50
153279,22
123433,79
143253,18
118950,51
143456,28
27260,46
186615,78
134845,21
165751,53
159845,44
146508,30
153951,17
158610,42
210808,52
159311,32
187324,81
113348,50
142241,35
119914,29
100639,45
26348,40
109910,22
18285,35
28876,31
159054,29
136872,37
170496,36
159848,46
179139,47
189624,24
180374,24
39043,36
149731,53
98432,23
147896,34
98280,40
172040,63
48159,31
172118,27
127901,33
34225,33
154226,20
36950,67
115296,41
121052,23
35546,21
96997,40
109920,37
170874,85
179307,29
207364,43
168298,48
181554,25
38106,50
137010,23
158628,52
95541,50
11089,44
155484,25
112042,35
148909,24
144945,22
172768,47
10106,50
132610,33
39369,38
97858,44
126078,38
162932,43
154298,80
131576,24
118348,44
123095,33
152265,27
84856,33
130376,39
109626,44
72058,12
137956,40
10962,53
125459,62
174805,20
87663,43
167049,33
125438,38
18003,39
145292,54
106540,52
164684,32
109984,70
202901,44
92312,50
185450,28
136873,36
101904,19
78240,33
163798,79
66728,64
114276,23
193800,52
123420,33
149236,63
132626,25
167053,12
124225,30
137281,20
135342,56
134887,58
17173,58
129094,28
171533,16
122527,62
31565,38
151674,42
88426,50
151747,69
161374,24
107928,68
152183,46
192614,55
167613,71
17062,50
66795,50
164719,32
182360,34
141824,49
114265,28
75006,76
193328,25
43516,30
103545,29
69951,50
189373,24
102216,34
171465,60
69024,50
37742,48
162471,40
100924,46
11290,27
149012,32
97692,35
50749,42
144330,58
38908,62
152632,29
156477,22
101248,33
139701,47
61273,33
159645,67
134963,42
11151,50
101962,25
123268,31
118922,38
167638,42
118370,39
163386,33
146548,33
92064,60
133447,26
128265,41
111527,23
125447,24
27255,64
169643,19
127396,33
90901,45
125401,37
154288,55
122596,22
98484,58
174301,49
85606,47
61450,48
61101,40
205623,61
197520,81
144355,24
168017,22
141259,37
13314,40
109642,67
94766,49
134980,25
118966,22
41635,40
122581,29
114248,24
142730,37
150632,40
130984,21
97857,61
156091,50
156675,17
189046,24
131637,23
149505,24
186348,47
136842,56
154980,22
129282,79
122602,50
132946,36
126961,45
151744,59
114293,39
17058,24
136898,64
123298,45
143379,75
81967,56
187526,40
149757,67
103797,47
99740,59
158611,22
101950,38
25670,19
74610,39
18933,11
97629,26
191914,50
140895,71
149512,51
137971,65
66034,50
136686,41
167651,45
137915,38
49380,60
92505,50
97816,59
134134,47
130943,39
161967,49
179430,48
118367,53
103241,28
74566,50
72524,50
120759,26
154293,48
136868,68
133424,40
164102,25
51690,29
110125,65
196215,47
153964,66
10453,78
38318,30
118395,37
10546,25
124238,40
100076,18
112666,25
152396,31
76014,22
136821,42
121047,24
95203,22
154029,41
180382,53
189028,69
184318,49
35388,39
158623,50
167599,27
143435,38
165514,27
132627,32
168779,15
167658,51
140695,51
129383,43
181711,79
144578,20
190320,53
126386,23
10501,94
124201,43
190720,69
93756,53
146526,43
137952,52
122489,43
167054,26
104478,60
129333,59
99094,36
144984,36
163832,25
68945,83
178067,37
173840,36
167605,67
118384,42
53152,56
185285,32
78294,19
134136,23
117786,62
68073,40
152680,70
140652,46
129049,56
29797,45
189118,51
164101,33
96910,60
160750,43
135807,25
189053,55
134133,38
129459,31
118323,55
152625,51
74453,25
129164,21
27564,33
168045,44
109971,27
136845,29
99769,37
145376,28
187787,33
125423,71
108734,24
170859,25
95808,43
148996,55
159892,44
34431,80
66725,28
12918,33
100015,30
191143,29
106522,39
142625,39
89755,33
97612,39
144968,58
185912,55
129096,12
133496,47
137347,32
134891,80
125405,50
125439,27
32667,67
175318,67
130344,43
173123,61
137884,21
110333,63
34532,31
140139,24
93028,58
167637,32
113165,44
171785,27
141104,50
149747,57
142803,43
150097,33
98483,44
151153,54
135874,59
66820,53
148863,39
110649,45
122197,23
10073,20
94767,39
124288,47
86843,29
158645,40
20308,54
101963,28
175039,55
147945,26
193804,60
134859,70
172816,51
137908,53
192150,46
193781,29
158626,39
150688,22
78845,38
113303,26
137976,62
167105,53
182407,35
125466,64
146459,49
155665,56
149576,22
118955,56
113983,38
134685,26
28789,72
125841,31
94183,25
115955,18
120157,44
103178,31
73588,60
98438,59
113163,59
127707,25
144975,32
172344,33
163844,22
130720,51
102431,50
128235,51
47370,51
174903,45
139438,33
103324,29
179398,23
113344,52
116234,51
162423,54
156200,28
146480,62
156083,52
113301,24
158621,82
159894,36
133457,28
154136,80
52553,41
121922,43
82473,59
169637,42
162249,58
105015,52
196809,49
210282,36
163831,69
187629,57
102817,47
174832,43
133223,25
127361,36
142384,46
107306,50
63113,53
153652,45
137972,35
172117,15
189141,40
140787,42
136893,39
136869,56
158266,24
125419,57
159806,59
118953,32
116327,30
194813,53
125468,50
134847,28
143390,25
49336,32
127866,38
106332,49
147054,31
165669,17
118347,58
164172,42
125426,33
79770,44
123275,41
25917,14
114282,58
193092,38
157500,20
12787,29
151192,32
175045,49
100990,54
92003,36
81464,38
175322,52
66751,48
149797,82
132933,49
98744,30
164108,50
80219,47
118652,36
102309,26
124844,28
127378,22
75426,65
164932,49
129671,28
125414,53
148647,42
28267,75
93793,38
39723,32
87163,14
190722,50
90922,48
160399,47
119430,63
114225,51
115642,47
159741,39
118954,57
109640,33
47701,82
100676,50
107053,20
90591,44
106335,51
101953,38
191637,67
151151,24
153729,89
103759,64
84917,44
89627,47