id,군구,면적(km²),공공체육시설,초등학교,지방세 징수(백만원),의료기관,저소득층(가구),저소득층(인구),세대수,한국인(남),한국인(여),외국인(남),외국인(여),출생(명),사망(명),혼인(건),이혼(건),범죄발생,흉악범죄,폭력범죄,CCTV수
1,중구,2.83,17,4,"100,363",141,139,280,"23,160","20,557","21,353","1,347",815,112,409,163,91,5553,93,674,376
2,서구,13.98,74,11,"73,444",148,672,1281,"52,786","52,627","55,602","1,314",807,386,999,391,227,3979,58,466,376
3,동구,9.87,65,7,"119,496",172,532,1129,"44,657","43,327","44,838","1,089","1,223",334,848,369,188,5899,89,781,649
4,영도구,14.2,52,14,"63,242",146,667,1289,"54,859","57,629","59,082","1,177",740,346,1158,366,259,3534,54,569,501
5,부산진구,29.67,225,32,"343,404",799,1176,2402,"166,865","173,446","184,434","1,275","1,889",1695,2450,1475,684,17066,469,2748,1005
6,동래구,16.63,36,22,"227,601",469,784,1530,"112,136","132,295","138,952",427,826,1291,1538,1058,498,8381,137,1193,687
7,남구,26.82,74,21,"232,160",355,720,1392,"117,397","134,519","139,961","3,148","3,224",1203,1726,1045,502,8431,138,1046,3171
8,북구,39.37,67,27,"130,947",360,1220,2602,"120,273","144,229","146,903","1,220","1,352",1468,1704,1084,538,8106,126,1342,661
9,해운대구,51.47,117,32,"449,970",654,1406,2881,"168,650","195,960","210,142","2,539","2,652",1948,2335,1471,724,14386,267,1732,570
10,사하구,41.77,59,26,"203,760",416,1366,2859,"138,790","160,101","160,903","2,998","1,949",1526,2093,1337,761,8826,176,1222,1801
11,금정구,65.27,118,22,"181,128",357,828,1692,"107,024","117,070","121,992","1,938","2,870",1000,1643,815,409,7663,143,952,570
12,강서구,181.49,158,18,"462,338",97,252,539,"53,731","66,982","62,584","4,588",894,1449,556,804,287,6820,63,433,597
13,연제구,12.1,33,16,"177,833",354,681,1370,"90,266","101,253","108,142",401,647,1214,1217,997,391,8618,143,1158,507
14,수영구,10.21,51,10,"159,625",307,498,1009,"81,452","83,565","92,583",784,965,854,1161,814,335,5504,105,898,1112
15,사상구,36.09,102,21,"178,957",242,751,1567,"96,726","110,286","107,808","2,931","2,464",1015,1441,845,493,9398,156,1237,378
16,기장군,218.3,200,21,"250,288",167,737,1658,"69,136","81,571","83,145","1,505",724,1208,982,746,400,5929,65,534,1120